municipio,potencial_destinacao_valor,potencial_destinacao_contribuintes,destinacoes_por_localidade_valor,destinacoes_por_localidade_contribuintes,valor_destinado_fundo,quantidade_doacoes_declaradas,percentual_crianca_adolescente,percentual_pessoa_idosa,darfs_pagos_valor,quantidade_doacoes_pagas,data_referencia_declaracoes,data_referencia_darfs,fonte,data_processamento
Municpio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723487
ABREU E LIMA,1219471.08,3385.0,10487.77,16.0,16039.17,25.0,45.1,54.9,7842.89,9.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723506
AFOGADOS DA INGAZEIRA,812357.81,1268.0,4662.14,6.0,10917.33,13.0,21.0,79.0,2554.19,6.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723508
AFRANIO,115776.33,265.0,373.18,1.0,1734.92,6.0,48.9,51.1,489.0,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723510
AGRESTINA,130802.74,403.0,5105.0,3.0,2553.24,4.0,62.5,37.5,1023.88,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723511
AGUA PRETA,187198.1,455.0,1601.47,3.0,2228.47,2.0,0.0,100.0,2228.47,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723513
AGUAS BELAS,274128.65,600.0,4196.34,4.0,8084.57,9.0,18.9,81.1,4659.67,5.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723515
ALAGOINHA,125492.33,269.0,3125.31,7.0,262606.6,124.0,57.9,42.1,178117.6,52.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723517
ALIANCA,274952.23,607.0,1338.05,4.0,17379.77,12.0,45.1,54.9,15128.32,6.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723520
ALTINHO,185230.23,403.0,4594.55,11.0,7475.33,13.0,100.0,0.0,4643.48,8.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723521
AMARAJI,110243.42,380.0,2830.3,3.0,450.0,1.0,100.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723525
ANGELIM,64474.7,160.0,455.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723526
ARACOIABA,85935.58,461.0,0.0,0.0,8723.79,7.0,100.0,0.0,2001.8,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723528
ARARIPINA,815622.92,1489.0,28034.91,24.0,50418.75,65.0,50.5,49.5,10793.66,21.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723529
ARCOVERDE,2198376.62,3248.0,113156.32,102.0,710655.05,664.0,61.7,38.3,304671.11,266.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723530
BARRA DE GUABIRABA,48554.77,129.0,5561.33,7.0,1728.07,3.0,100.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723531
BARREIROS,494475.04,936.0,5387.28,3.0,19581.74,13.0,83.8,16.2,8058.61,6.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723532
BELEM DE MARIA,56117.51,111.0,1875.34,2.0,1384.16,3.0,85.0,15.0,897.07,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723534
BELEM DE SAO FRANCISCO,229277.79,376.0,3292.51,3.0,625.15,1.0,0.0,100.0,625.15,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723535
BELO JARDIM,1153652.95,2460.0,52851.73,59.0,297609.84,142.0,79.3,20.7,100383.14,54.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723537
BETANIA,69354.0,295.0,1035.88,1.0,1135.88,2.0,100.0,0.0,100.0,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723540
BEZERROS,731757.8,1353.0,21898.93,25.0,35497.66,36.0,46.7,53.3,8520.41,13.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723542
BODOCO,200440.35,442.0,545.59,1.0,10303.3,4.0,53.2,46.8,4954.02,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723543
BOM CONSELHO,366630.8,757.0,3889.0,2.0,3695.2,7.0,100.0,0.0,1420.35,4.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723545
BOM JARDIM,225317.48,638.0,3120.42,4.0,5289.13,12.0,64.8,35.2,670.0,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723547
BONITO,249849.48,590.0,8681.29,13.0,7755.41,7.0,0.0,100.0,5716.41,5.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723548
BREJAO,43920.91,159.0,911.95,1.0,1011.95,2.0,90.1,9.9,100.0,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723549
BREJINHO,37403.94,125.0,1630.97,2.0,1630.97,2.0,100.0,0.0,842.53,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723550
BREJO DA MADRE DE DEUS,314731.17,584.0,18422.47,21.0,12004.41,12.0,51.6,48.4,9342.93,9.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723552
BUENOS AIRES,38620.62,164.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723553
BUIQUE,220346.1,623.0,3526.05,3.0,26904.4,17.0,54.0,46.0,4388.19,8.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723558
CABO DE SANTO AGOSTINHO,3654587.99,8430.0,39851.26,38.0,30162.09,48.0,45.1,54.9,10113.54,22.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723559
CABROBO,384524.58,727.0,8082.57,5.0,6218.38,9.0,51.4,48.6,490.02,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723560
CACHOEIRINHA,137731.51,268.0,3786.98,4.0,4187.18,5.0,100.0,0.0,2917.64,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723563
CAETES,97126.41,316.0,1547.29,3.0,1510.45,5.0,88.8,11.2,360.0,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723565
CALCADO,36242.63,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723566
